NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPO	Huang-1992-1800	GLOSS (can be edit)	Huang_book_Chinese	Huang_book_English	Category	TBL_ID	TBL_ENGLISH	TBL_CHINESE	TBL_CONCEPTICON_ID	TBL_CONCEPTICON_GLOSS	TBL_POS	TBL_EVARS	TBL_CVARS
Chen-2013-888-173	啄木鸟	woodpecker	624	2447	WOODPECKER		343	woodpecker	啄木鸟	woodpecker	动物	Huang-1992-1820-343	woodpecker	啄木鸟	2447	WOODPECKER	n		
Chen-2013-888-174	蛇	snake	624	730	SNAKE		347	snake	蛇	snake	动物	Huang-1992-1820-347	snake	蛇	730	SNAKE	n		
Chen-2013-888-175	青蛙	frog	625	503	FROG		349	frog	青蛙	frog	动物	Huang-1992-1820-349	frog	青蛙	503	FROG	n		
Chen-2013-888-176	鱼	fish	625	227	FISH		351	fish	鱼	fish	动物	Huang-1992-1820-351	fish	鱼	227	FISH	n		
Chen-2013-888-177	鳞	scale	625	266	SCALE		352	scale	鳞	scale	动物	Huang-1992-1820-352	scale	鳞	266	SCALE	n		
Chen-2013-888-178	黄鳝	eel	626	1013	FRESHWATER EEL		0				动物								
Chen-2013-888-179	泥鳅	mudfish (loach)	626				0				动物								
Chen-2013-888-180	虾	shrimp	626	2349	SHRIMP		0				动物								
Chen-2013-888-181	螃蟹	crab	627	2348	CRAB		0				动物								
Chen-2013-888-182	螺蛳	river snails	627	1543	SNAIL		371	snail			动物								
Chen-2013-888-183	蚂蟥	leech	627	2273	LEECH		364	leech	蚂蟥	leech	动物	Huang-1992-1820-364	leech	蚂蟥	2273	LEECH	n		
Chen-2013-888-184	虫	insect (worm)	628	620	INSECT		353	insect/ worm	虫	insect/ worm	动物	Huang-1992-1820-353	insect / worm (flying) (note:+flying)	虫 (飞~)	620	INSECT	n		
Chen-2013-888-185	臭虫	bedbug	628	1949	BEDBUG		354	bedbug	臭虫	bedbug	动物	Huang-1992-1820-354	bedbug	臭虫	1949	BEDBUG	n		
Chen-2013-888-186	虱子	louse	628	1392	LOUSE		356	louse	虱	louse	动物								
Chen-2013-888-187	苍蝇	fly (insect)	629	1504	FLY (INSECT)		358	fly	苍蝇	fly	动物	Huang-1992-1820-358	fly	苍蝇	1504	FLY (INSECT)	n		
Chen-2013-888-188	蛆	maggot	629	2640	LARVA		359	maggot	蛆	maggot	动物	Huang-1992-1820-359	maggot (meat) (note:+meat)	蛆 (肉~)	3186	MAGGOT	n		
Chen-2013-888-189	蚊子	mosquito	629	1509	MOSQUITO		360	mosquito	蚊子	mosquito	动物	Huang-1992-1820-360	mosquito (relatively small) (note:+larger)	蚊子 ((较大的)~)	1509	MOSQUITO	n	mosquito n||mosquito (relatively large) (note:+small) n	蚊子||蚊子 ((较小的)~)
Chen-2013-888-190	蜘蛛	spider	630	843	SPIDER		361	spider	蜘蛛	spider	动物	Huang-1992-1820-361	spider	蜘蛛	843	SPIDER	n		
Chen-2013-888-191	蚯蚓	earthworm	630	2350	EARTHWORM		363	earthworm	蚯蚓	earthworm	动物	Huang-1992-1820-363	earthworm	蚯蚓	2350	EARTHWORM	n		
Chen-2013-888-192	蛔虫	roundworm	630		*ROUNDWORM		0				动物							https://en.wikipedia.org/wiki/Ascaris_lumbricoides	
Chen-2013-888-193	蚂蚁	ant	631	587	ANT		365	ant	蚂蚁	ant	动物	Huang-1992-1820-365	ant	蚂蚁	587	ANT	n		
Chen-2013-888-194	蜜蜂	bee	631	665	BEE		367	bee	蜜蜂	bee	动物	Huang-1992-1820-367	bee	蜜蜂	665	BEE	n		
Chen-2013-888-195	马蜂	wasp	631	1517	WASP		0				动物								
Chen-2013-888-196	马蜂窝	wasp nest	632		*WASP NEST		0				动物								
Chen-2013-888-197	螳螂	mantis	632		!MANTIS		0				动物							https://en.wikipedia.org/wiki/Mantis	
Chen-2013-888-198	蜻蜓	dragonfly	632	2352	DRAGONFLY		369	dragonfly	蜻蜓	dragonfly	动物	Huang-1992-1820-369	dragonfly	蜻蜓	2352	DRAGONFLY	n		
Chen-2013-888-199	蝴蝶	butterfly	633	1791	BUTTERFLY		370	butterfly	蝴蝶	butterfly	动物	Huang-1992-1820-370	butterfly	蝴蝶	1791	BUTTERFLY	n		
Chen-2013-888-200	树	tree	633	906	TREE		372	tree	树	tree	植物	Huang-1992-1820-372	tree	树	906	TREE	n		
Chen-2013-888-201	树干	trunk	633	344	TREE TRUNK		373	trunk	树干	trunk	植物	Huang-1992-1820-373	trunk	树干	344	TREE TRUNK	n		
Chen-2013-888-202	樹枝	branch/ twig	634	1531	BRANCH		374	branch / twig	树枝	branch/ twig	植物								
Chen-2013-888-203	树梢	tree top	634	3036	TREETOP		0				植物							https://de.wikipedia.org/wiki/Wipfel	
Chen-2013-888-204	树根	root	634	670	ROOT		375	root	根	root	植物								
Chen-2013-888-205	叶子	leaf	635	628	LEAF		376	leaf	叶子	leaf	植物	Huang-1992-1820-376	leaf	叶子	628	LEAF	n		
Chen-2013-888-206	花	flower	635	239	FLOWER		377	flower	花	flower	植物	Huang-1992-1820-377	flower	花	239	FLOWER	n		
Chen-2013-888-207	果子	fruit	635	1507	FRUIT		378	fruit (lit. 'pear peach apricot') (note:"plum-peach-apricot")	水果	fruit	植物								
Chen-2013-888-208	芽	sprout (shoot)	636		*SPROUT (SHOOT)		380	sprout / shoot	芽儿	sprout/ shoot	植物								
Chen-2013-888-209	杉树	fir	636	1915	FIR		384	China fir	杉树	China fir	植物	Huang-1992-1820-384	fir (China) (mid-elevation 'hanging' fir)		1915	FIR	n		
Chen-2013-888-210	松树	pine	636	1740	PINE		385	pine	松树	pine	植物	Huang-1992-1820-385	pine (said by youth) (note:+elderly{speech})	松树 ((老人语))	1740	PINE	n		
Chen-2013-888-211	桃	peach	637	2043	PEACH		392	peach	桃子	peach	植物								
Chen-2013-888-212	李子	plum	637	2356	CHINESE PLUM		0				植物								
Chen-2013-888-213	梨	pear	637	922	PEAR		393	pear	梨	pear	植物	Huang-1992-1820-393	pear (flat: Ch. 'bian3 li2') (note:+small +yellow)	梨 ((小黄)~)	922	PEAR	n		
Chen-2013-888-214	橘子	orange	638	2627	ORANGE (FRUIT)		0				植物								
Chen-2013-888-215	柿子	persimmon	638	2044	PERSIMMON		395	persimmon	柿子	persimmon	植物	Huang-1992-1820-395	persimmon	柿子	2044	PERSIMMON	n		
Chen-2013-888-216	葡萄	grape	638	920	GRAPE		396	grape	葡萄	grape	植物	Huang-1992-1820-396	grape	葡萄	920	GRAPE	n		
Chen-2013-888-217	竹子	bamboo	639	1927	BAMBOO		389	bamboo	竹子	bamboo	植物	Huang-1992-1820-389	bamboo (thick/ coarse) (note:+thick)	竹子 (粗~)	1927	BAMBOO	n	bamboo n||bamboo (thin/ fine) (note:+thin) n	竹子||竹子 (细~)
Chen-2013-888-218	藤子	cane/ vine	639	2497	RATTAN		390	cane/ vine	藤子	cane/ vine	植物	Huang-1992-1820-390	cane / vine (tendrilled) (note:+bamboo)	藤子 (藤竹)	2497	RATTAN	n		
Chen-2013-888-219	苎麻	ramie	639	3063	RAMIE		0				植物								
Chen-2013-888-220	刺	thorn/ splinter	640	124	THORN		391	thorn / splinter			植物								
Chen-2013-888-221	水稻	paddy rice	640	429	SWIDDEN FIELD		403	paddy rice	水稻	paddy rice	植物	Huang-1992-1820-403	rice (paddy)	水稻	2026	RICE PLANT	n		
Chen-2013-888-222	种子	seed	640	714	SEED		405	seed	种子	seed	植物	Huang-1992-1820-405	seed	种子	714	SEED	n		
Chen-2013-888-223	秧	(rice) seedling	641	3050	SEEDLING		406	(rice) seedling	秧	(rice) seedling	植物	Huang-1992-1820-406	seedling (rice)	秧	3050	SEEDLING	n		
Chen-2013-888-224	包谷	maize/ corn	641	506	MAIZE		416	maize / corn	玉米	maize/ corn	植物								
Chen-2013-888-225	高粱	Sorghum	641	347	SORGHUM		0				植物								
Chen-2013-888-226	粟	grain	642	605	GRAIN		402	foodstuff / grain	粮食	foodstuff/ grain	植物								
Chen-2013-888-227	菜	vegetable	642	924	VEGETABLES		420	vegetable	蔬菜	vegetable	植物								
Chen-2013-888-228	白菜	Chinese cabbage	642	774	CABBAGE		0	cabbage			植物							https://zh.wikipedia.org/wiki/%E6%B2%B9%E8%8F%9C	
Chen-2013-888-229	油菜	rapeseed flowers	643				0				植物							https://en.wikipedia.org/wiki/Brassica	
Chen-2013-888-230	韭菜	garlic chives	643				0				植物							https://en.wikipedia.org/wiki/Allium_tuberosum	
Chen-2013-888-231	萝卜	turnip	643	3062	TURNIP		421	radish	萝卜	radish	植物	Huang-1992-1820-421	radish	萝卜	2365	RADISH	n		
Chen-2013-888-232	芋头	taro	644	351	TARO		0	taro			植物								
Chen-2013-888-233	茄子	aubergine	644	1146	AUBERGINE		0	aubergine			植物								
Chen-2013-888-234	辣椒	hot pepper/ chili	644	919	CHILI PEPPER		422	hot pepper/ chili	辣椒	hot pepper/ chili	植物	Huang-1992-1820-422	pepper (hot) / chili	辣椒	919	CHILI PEPPER	n		
Chen-2013-888-235	葱	onion/ scallion	645	2366	ONION		423	onion/ scallion	葱	onion/ scallion	植物	Huang-1992-1820-423	onion / scallion	葱	2366	ONION	n		
Chen-2013-888-236	蒜	garlic	645	2368	GARLIC		424	garlic	蒜	garlic	植物	Huang-1992-1820-424	garlic	蒜	2368	GARLIC	n		
Chen-2013-888-237	姜	ginger	645	2500	GINGER		425	ginger	姜	ginger	植物	Huang-1992-1820-425	ginger	姜	2500	GINGER	n		
Chen-2013-888-238	红薯	sweet potato	646	159	SWEET POTATO		0	sweet potato			植物								
Chen-2013-888-239	笋	bamboo shoot	646	2494	BAMBOO SHOOT		0	bamboo shoot			植物								
Chen-2013-888-240	瓜	melon/ gourd	646		*GOURD OR MELON		427	melon/gourd	瓜	melon/ gourd	植物	Huang-1992-1820-427	melon / gourd	瓜	411	GOURD	n		
Chen-2013-888-241	瓜藤	melon or gourd vine	647								植物								
Chen-2013-888-242	瓜子	guazi (baked planet seed/ a kind of snack)	647								植物								
Chen-2013-888-243	南瓜	pumpkin	647	864	PUMPKIN		428	pumpkin	南瓜	pumpkin	植物	Huang-1992-1820-428	pumpkin	南瓜	864	PUMPKIN	n		
Chen-2013-888-244	西瓜	water melon	648	2766	WATERMELON		0	watermelon			植物								
Chen-2013-888-245	黄瓜	cucumber	648	496	CUCUMBER		429	cucumber	黄瓜	cucumber	植物	Huang-1992-1820-429	cucumber	黄瓜	496	CUCUMBER	n		
Chen-2013-888-246	葫芦	gourd	648	411	GOURD		0	grourd			植物								
Chen-2013-888-247	冬瓜	wax gourd	649		*WAX GOURD		0	wax gourd			植物								
Chen-2013-888-248	豆	bean	649	2574	BEAN OR PEA		430	pea/ bean	豆	pea/ bean	植物	Huang-1992-1820-430	pea / bean	豆	2574	BEAN OR PEA	n		
Chen-2013-888-249	黄豆	soya bean	649	2027	SOYA		431	soya bean	黄豆	soya bean	植物	Huang-1992-1820-431	soya bean	黄豆	2028	SOYA BEAN	n		
Chen-2013-888-250	豇豆	cow pea	650				0	cowpea			植物								
Chen-2013-888-251	花生	peanut	650	2364	PEANUT		434	peanut	花生	peanut	植物	Huang-1992-1820-434	peanut	花生	2364	PEANUT	n		
Chen-2013-888-252	芝麻	sesame	650	2797	SESAME		435	sesame	芝麻	sesame	植物	Huang-1992-1820-435	sesame	芝麻	2797	SESAME	n		
Chen-2013-888-253	草	grass	651	606	GRASS		436	grass	草	grass	植物	Huang-1992-1820-436	grass (not eaten by draught animals) (note:+small)	草 (小~)	606	GRASS	n	grass n||grass (eaten by draught animals) (note:+long-stemmed) n||grass (small) (note:+edible{livestock}) n||grass (long-stemmed) (note:+edible{livestock}) n	草||草 (长茎)||草 ((牲口不吃的)~)||草 ((牲口可吃的)~)
Chen-2013-888-254	茅草	imperata	651		*IMPERATA		0	imperata			植物							https://zh.wikipedia.org/wiki/%E7%99%BD%E8%8C%85%E5%B1%9E	
Chen-2013-888-255	蓝靛苗	a group of Miao people	651				0												
Chen-2013-888-256	蕨菜	bracken	652				0				植物							https://zh.wikipedia.org/wiki/%E8%95%A8%E8%8F%9C	
Chen-2013-888-257	蘑菇	mushroom	652	641	MUSHROOM		437	mushroom	蘑菇	mushroom	植物	Huang-1992-1820-437	mushroom	蘑菇	641	MUSHROOM	n		
Chen-2013-888-258	木耳	muer (an edible fungus)	652		*MUER (FUNGUS)		438	muer (an edible fungus)	木耳	muer (an edible fungus)	植物	Huang-1992-1820-438	fungus (edible) (lit. 'mouse's ear') (note:"old-person ear")	木耳 ("老人耳朵")	641	MUSHROOM	n		
Chen-2013-888-259	米	rice	653	926	RICE		439	rice	米	rice	食品	Huang-1992-1820-439	rice	米	2026	RICE PLANT	n		
Chen-2013-888-260	糯米	glutinous rice	653	2750	GLUTINOUS RICE		404	glutinous rice	糯米	glutinous rice	植物	Huang-1992-1820-404	rice (glutinous)	糯米		*GLUTINOUS RICE	n		
Chen-2013-888-261	饭	cooked rice	653	1191	COOKED RICE		440	cooked rice	饭	cooked rice	食品	Huang-1992-1820-440	cooked rice	饭 ((早晚)~)	1191	COOKED RICE	n		
Chen-2013-888-262	粥	congee (gruel, porridge)	654	2049	CONGEE		0				食品								
Chen-2013-888-263	粑粑	a type of bread	654				0	round flat cake			食品							https://glosbe.com/zh/en/%E7%B2%91%E7%B2%91	
Chen-2013-888-264	面粉	flour	654	1594	FLOUR		442	flour	面粉	flour	食品	Huang-1992-1820-442	flour	面粉	1594	FLOUR	n		
Chen-2013-888-265	肉	meat	655	634	MEAT		443	meat	肉	meat	食品	Huang-1992-1820-443	meat	肉	634	MEAT	n		
Chen-2013-888-266	牛肉	beef	655	2570	BEEF		0	beef			食品								
Chen-2013-888-267	羊肉	lamb	655		*SHEEP MEAT		0	sheep meat			食品								
Chen-2013-888-268	猪肉	pork	656	2769	PORK		0	pork			食品								
Chen-2013-888-269	肥肉	fat meat	656				0	fat meat			食品								
Chen-2013-888-270	瘦肉	lean meat	656				444	lean meat	瘦肉	lean meat	食品	Huang-1992-1820-444	meat (lean)	瘦肉	634	MEAT	n		
Chen-2013-888-271	猪油	lard (pig fat)	657	2557	PIG FAT		0	pig fat			食品								
Chen-2013-888-272	菜油	vegetable oil	657	2555	OIL (FROM PLANTS)		0				食品								
Chen-2013-888-273	盐	salt	657	1274	SALT		61	salt	盐	salt	天文地理	Huang-1992-1820-61	salt	盐	1274	SALT	n		
Chen-2013-888-274	糖	sugar	658	862	SUGAR		449	sugar	糖	sugar	食品	Huang-1992-1820-449	sugar	糖	862	SUGAR	n		
Chen-2013-888-275	白糖	white sugar	658		*WHITE SUGAR		0	white sugar			食品								
Chen-2013-888-276	红糖	brown sugar	658		*BROWN SUGAR		0	brown sugar			食品								
Chen-2013-888-277	蛋	egg	659	744	EGG		450	egg	蛋（鸡～）	egg	食品								
Chen-2013-888-278	蛋白	egg white	659		!WHITE OF EGGS		0	egg white			食品							https://glosbe.com/zh/en/%E8%9B%8B%E7%99%BD	
Chen-2013-888-279	蛋黄	yolk	659	1556	YOLK		0	egg yolk			食品								
Chen-2013-888-280	壳儿	shell	660	598	SHELL		0	shell			食品								
Chen-2013-888-281	豆腐	tofu	660		*TOFU		0	tofu			食品								
Chen-2013-888-282	汤	soup	660	1547	SOUP		451	soup	汤	soup	食品	Huang-1992-1820-451	soup (vegetable) (note:+vegetable)	汤 (菜~)	1547	SOUP	n		
Chen-2013-888-283	酒	alcoholic beverage	661	404	ALCOHOL (FERMENTED DRINK)		452	alcoholic beverage	酒	alcoholic beverage	食品	Huang-1992-1820-452	alcoholic beverage (sorghum / maize) (note:+highland_barley)	酒 (青稞~)	2050	ALCOHOL (DRINK)	n		
Chen-2013-888-284	茶	tea	661	1373	TEA		454	tea	茶	tea	食品	Huang-1992-1820-454	tea	茶	1373	TEA	n		
Chen-2013-888-285	茶叶	tea leaf	661		*TEA LEAF		0	tea leaf			食品								
Chen-2013-888-286	甜酒	liquor (sweet)	662	842	LIQUOR		0	liquor			食品								
Chen-2013-888-287	开水	boiled water	662		*BOILED WATER		453	boiled water	开水	boilded water	食品	Huang-1992-1820-453	water (boiled)	开水	948	WATER	n		
Chen-2013-888-288	药	medicine	662	1372	MEDICINE		456	medicine	药	medicine	食品	Huang-1992-1820-456	medicine	药	1372	MEDICINE	n		
Chen-2013-888-289	糠	chaff/ bran	663	2363	CHAFF (HUSK)		457	chaff/ bran	糠	chaff/ bran	食品	Huang-1992-1820-457	chaff / bran	糠	2362	BRAN	n		
Chen-2013-888-290	棉花	cotton	663	1850	COTTON		418	cotton	棉花	cotton	植物	Huang-1992-1820-418	cotton	棉花	1850	COTTON	n		
Chen-2013-888-291	纱	yarn	663		*YARN						衣着								
Chen-2013-888-292	布	cloth	664	1616	CLOTH		462	cloth	布	cloth	衣着	Huang-1992-1820-462	cloth	布	1616	CLOTH	n		
Chen-2013-888-293	衣	clothing (garment)	664	1895	CLOTHES		467	clothing / garment	衣服	clothing/ garment	衣着								
Chen-2013-888-294	棉衣	cotton-padded jacket	664				0	cotton-padded clothes			衣着								
Chen-2013-888-295	衣领	collar	665	2012	COLLAR		468	collar	衣领	collar	衣着	Huang-1992-1820-468	collar	衣领	2012	COLLAR	n		
Chen-2013-888-296	袖子	sleeve	665	2953	SLEEVE		469	sleeve			衣着								
Chen-2013-888-297	扣子	button	665	757	BUTTON		470	button	扣子	button	衣着	Huang-1992-1820-470	button	扣子	757	BUTTON	n		
Chen-2013-888-298	衣袋	pocket	666	1851	POCKET		0	pocket			衣着								
Chen-2013-888-299	裤子	pants/ trousers	666	809	TROUSERS		471	pants/ trousers	裤子	pants/ trousers	衣着	Huang-1992-1820-471	pants / trousers (female's) (note:+male)	裤子 (男裤)	809	TROUSERS	n		
Chen-2013-888-300	裙子	skirt	666	1600	SKIRT		472	skirt	裙子	skirt	衣着	Huang-1992-1820-472	apron (note:apron)	裙子 (围裙)	2046	APRON	n		
Chen-2013-888-301	头巾	head covering	667				0	scarf			衣着								
Chen-2013-888-302	帽子	hat	667	771	HAT		475	hat	帽子	hat	衣着	Huang-1992-1820-475	hat (men's) (note:+male)	帽子 (男帽)	771	HAT	n		
Chen-2013-888-303	裹腿布	legging	667				0	leggings			衣着							https://glosbe.com/zh/en/%E8%A3%B9%E8%85%BF	
Chen-2013-888-304	鞋	shoe	668	1381	SHOE		479	shoe	鞋	shoe	衣着	Huang-1992-1820-479	shoe	鞋	1381	SHOE	n		
Chen-2013-888-305	草鞋	straw sandal	668	2047	STRAW SANDAL		0	straw sandal			衣着								
Chen-2013-888-306	袜子	sock (stocking)	668	1522	SOCK		478	sock/ stocking	袜子	sock/ stocking	衣着	Huang-1992-1820-478	sock / stocking	袜子	1522	SOCK	n		
Chen-2013-888-307	蓑衣	straw or palm-bark rain cape	669	1662	CAPE		493	straw or palm-bark rain cape	蓑衣	straw or palm-bark rain cape	衣着	Huang-1992-1820-493	cape (for rain/ of straw or palm bark)	蓑衣	1662	CAPE	n		
Chen-2013-888-308	斗笠	bamboo hat	669	2160	BAMBOO HAT		0	bamboo hat			衣着								
Chen-2013-888-309	被子	quilt	669	2048	QUILT		0	quilt			衣着								
Chen-2013-888-310	枕头	pillow	670	1044	PILLOW		490	pillow	枕头	pillow	衣着	Huang-1992-1820-490	pillow	枕头	1044	PILLOW	n		
Chen-2013-888-311	席子	mat	670	195	MAT		491	mat	席子	mat	衣着	Huang-1992-1820-491	mat (woven bamboo) (note:+straw)	席子 (草~)	195	MAT	n		
Chen-2013-888-312	蚊帐	mosquito net	670	2795	MOSQUITO NET		0	mosquito net			房屋建筑								
Chen-2013-888-313	棉絮	cotton wool	671		*COTTON WOOL		0	cotton wool			衣着								
Chen-2013-888-314	房子	house	671	1252	HOUSE		494	house	房子	house	房屋建筑	Huang-1992-1820-494	house	房子	1252	HOUSE	n		
Chen-2013-888-315	瓦房	tile house	671				0	tiled house			房屋建筑								
Chen-2013-888-316	草房	thatched cottage	672				0	grass house			房屋建筑								
Chen-2013-888-317	厨房	kitchen	672	1365	KITCHEN		498	kitchen	厨房	kitchen	房屋建筑	Huang-1992-1820-498	kitchen	厨房	1365	KITCHEN	n		
Chen-2013-888-318	厕所	toilet	672	219	TOILET		0	toilet			房屋建筑								
Chen-2013-888-319	仓库	storehouse	673				502	warehouse/ storehouse	仓库	warehouse/ storehouse	房屋建筑	Huang-1992-1820-502	warehouse / storehouse	仓库		*WAREHOUSE	n		
Chen-2013-888-320	牛圈	cowshed	673				503	cowshed/ ox fence	牛圈	cowshed/ ox fence	房屋建筑	Huang-1992-1820-503	shed (cow) / fence (ox)	牛圈	3025	BARN OR SHED	n		
Chen-2013-888-321	门	door	673	1567	DOOR		514	door	门	door	房屋建筑	Huang-1992-1820-514	door	门	1567	DOOR	n		
Chen-2013-888-322	砖	brick	674	1006	BRICK		508	brick	砖	brick	房屋建筑	Huang-1992-1820-508	brick	砖	1006	BRICK	n		
Chen-2013-888-323	瓦	tile	674		*TILE		509	tile	瓦	tile	房屋建筑	Huang-1992-1820-509	tile	瓦		*TILE	n		
Chen-2013-888-324	墙	wall	674	933	WALL (OF HOUSE)		510	wall	墙	wall	房屋建筑	Huang-1992-1820-510	wall (earthen/ cob wall)	墙	933	WALL (OF HOUSE)	n		
Chen-2013-888-325	楼	building	675		*BUILDING		0	building			房屋建筑								
Chen-2013-888-326	窗子	window	675	1375	WINDOW		517	window	窗子	window	房屋建筑	Huang-1992-1820-517	window	窗子	1375	WINDOW	n		
Chen-2013-888-327	木头	wood	675	1803	WOOD		511	wood/ log	木头	wood/ log	房屋建筑	Huang-1992-1820-511	wood / log	木头	1803	WOOD	n		
Chen-2013-888-328	木板	board	676	1227	BOARD		512	plank/ board	木板	plank/ board	房屋建筑	Huang-1992-1820-512	plank / board (coffin) (note:+small)	木板 (小~)	1227	BOARD	n		
Chen-2013-888-329	柱子	column	676	2045	COLUMN		513	pillar/ column	柱子	pillar/ column	房屋建筑	Huang-1992-1820-513	pillar / column	柱子	2045	COLUMN	n		
Chen-2013-888-330	台阶	step	676	1158	STEP		520	flight of steps	台阶	flight of steps	房屋建筑	Huang-1992-1820-520	flight of steps	台阶	1158	STEP	n		
Chen-2013-888-331	船	boat	677	1844	BOAT		602	boat/ ship	船	boat/ ship	用品工具	Huang-1992-1820-602	boat / ship (wooden) (note:+wooden)	船 (木船)	1844	BOAT	n		
Chen-2013-888-332	车	car	677	1111	CAR		0	car			用品工具								
Chen-2013-888-333	马鞍	saddle	677	3065	SADDLE		588	saddle	马鞍	saddle	用品工具	Huang-1992-1820-588	saddle	马鞍	3065	SADDLE	n		
Chen-2013-888-334	鞭子	whip	678	2630	WHIP		597	whip	鞭子	whip	用品工具	Huang-1992-1820-597	whip (for urging a cow) (note:+horse)	鞭子 ((赶马用的)~)	2630	WHIP	n		
Chen-2013-888-335	伞	umbrella	678	3105	UMBRELLA		583	umbrella	伞	umbrella	用品工具	Huang-1992-1820-583	umbrella (lit. 'cloth hat') (note:"cloth hat")	伞 ("布帽子")	3105	UMBRELLA	n		
Chen-2013-888-336	斧子	axe	678	677	AXE		605	axe			用品工具								
Chen-2013-888-337	柴刀	chopper	679				633	chopper	柴刀	chopper	用品工具	Huang-1992-1820-633	chopper	柴刀	3067	CLEAVER	n		
Chen-2013-888-338	锤子	hammer	679	1481	HAMMER		606	hammer	锤子	hammer	用品工具	Huang-1992-1820-606	hammer	锤子	1481	HAMMER	n		
Chen-2013-888-339	凿子	chisel	679	1979	CHISEL		607	chisel	凿子	chisel	用品工具	Huang-1992-1820-607	chisel (round) (note:+round)	凿子 (园~)	1979	CHISEL	n		
Chen-2013-888-340	锯子	saw	680	1948	SAW		608	saw	锯子	saw	用品工具	Huang-1992-1820-608	saw	锯子	1948	SAW	n		
Chen-2013-888-341	锉子	file	680		*FILE (INSTRUMENT)		610	file	锉	file	用品工具							!!!	
Chen-2013-888-342	锥子	awl	680	278	AWL		579	awl	锥子	awl	用品工具	Huang-1992-1820-579	awl	锥子	278	AWL	n		
Chen-2013-888-343	刨子	plane	681		*PLANE (TOOL)		611	plane	刨子	plane	用品工具	Huang-1992-1820-611	plane (tool)	刨子		*PLANE (TOOL)	n		
Chen-2013-888-344	钳子	tongs	681	272	TONGS		0	pliers			用品工具								
Chen-2013-888-345	犁	plough	681	2154	PLOUGH (INSTRUMENT)		614	plough	犁	plough	用品工具	Huang-1992-1820-614	plow	犁	2154	PLOUGH (INSTRUMENT)	n		
Chen-2013-888-346	耙	rake	682	338	RAKE		616	rake	耙	rake	用品工具	Huang-1992-1820-616	rake	耙	338	RAKE	n		
Chen-2013-888-347	钉耙	a type of rake	682				0	*rake			用品工具								
Chen-2013-888-348	锄头	hoe	682	284	HOE		617	hoe	锄头	hoe	用品工具	Huang-1992-1820-617	hoe (pointed) (note:+small)	锄头 (小锄)	284	HOE	n		
Chen-2013-888-349	扁担	carrying pole (shoulder pole)	683				618	carrying pole/ shoulder pole	扁担	carrying pole/ shoulder pole	用品工具	Huang-1992-1820-618	pole (carrying / shoulder)	扁担		*POLE (SHOULDER)	n		
Chen-2013-888-350	绳子	rope	683	1218	ROPE		619	rope/ string	绳子	rope/ string	用品工具	Huang-1992-1820-619	rope / string	绳子	1218	ROPE	n		
Chen-2013-888-351	镰刀	sickle	683	341	SICKLE		624	sickle	镰刀	sickle	用品工具	Huang-1992-1820-624	sickle	镰刀	341	SICKLE	n	sickle n	镰刀
Chen-2013-888-352	麻袋	sack	684	2990	SACK		0	sack			用品工具								
Chen-2013-888-353	箩筐	bamboo basket (carried on back)	684		*BAMBOO BASKED (CARRIED ON BACK)		622	basket carried on the back			用品工具								
Chen-2013-888-354	织布机	loom	684	1787	LOOM		632	loom	织布机	loom	用品工具	Huang-1992-1820-632	loom	织布机	1787	LOOM	n		
Chen-2013-888-355	纺车	spinning wheel	685		*SPINNING WHEEL		0	spinning wheel			用品工具								
Chen-2013-888-356	弓	bow	685	994	BOW		636	bow	弓	bow	用品工具	Huang-1992-1820-636	bow (for arrow)	弓	994	BOW	n		
Chen-2013-888-357	箭	arrow	685	977	ARROW		637	arrow	箭	arrow	用品工具	Huang-1992-1820-637	arrow	箭	977	ARROW	n		
Chen-2013-888-358	锍	some kind of weapon (meaning unclear)	686			銃	0		*銃		用品工具								
Chen-2013-888-359	火药	gunpowder	686	1798	GUNPOWDER		640	gunpowde	火药	gunpowde	用品工具	Huang-1992-1820-640	gunpowder	火药	1798	GUNPOWDER	n		
Chen-2013-888-360	风箱	bellow	686		*BELLOW		0	bellow			用品工具								https://glosbe.com/zh/en/%E9%A3%8E%E7%AE%B1
Chen-2013-888-361	网	net	687	2653	NET (FOR CATCHING)		642	net	网	net	用品工具	Huang-1992-1820-642	net	网	2963	NET	n		
Chen-2013-888-362	囱	chimney	687	1305	CHIMNEY		0	chimney			用品工具								
Chen-2013-888-363	石磨	stone mill	687	636	MILL		631	mill	磨（石～）	millstones	用品工具								
Chen-2013-888-364	筛子	sieve	688		*SIEVE (TOOL)		629	sieve/ sifter	筛子	sieve/ sifter	用品工具	Huang-1992-1820-629	sieve / sifter (coarse) (note:+thick)	筛子 (粗~)	86	SIEVE	n		
Chen-2013-888-365	簸箕	winnowing fan	688	2051	DUSTPAN		630	winnowing fan	簸箕	winnowing fan	用品工具	Huang-1992-1820-630	fan (winnowing)	簸箕		*WINNOWING FAN	n		
Chen-2013-888-366	钩子	hook	688	1071	HOOK		1348	hook			用品工具								
Chen-2013-888-367	床	bed	689	1663	BED		526	bed	床	bed	用品工具	Huang-1992-1820-526	bed	床	1663	BED	n		
Chen-2013-888-368	桌子	table	689	1775	TABLE		524	table	桌子	table	用品工具	Huang-1992-1820-524	table (word used by elderly) (note:younger{language})	桌子 ((青年语))	1775	TABLE	n		
